Sr. No.,Company name,ISIN,BSE Symbol,BSE 6 month Avg Total Market Cap in (Rs. Crs.),NSE Symbol,NSE 6 month Avg Total Market Cap (Rs. Crs.),MSEI Symbol,MSEI 6 month Avg Total Market Cap in (Rs Crs.),Average of All Exchanges (Rs. Cr.),"Categorization as per SEBI Circular dated Oct 6, 2017"
1,RELIANCE INDUSTRIES LTD,INE002A01018,RELIANCE,1639079.85,RELIANCE,1639099.1514,,,1639089.5007,Large Cap
2,TATA CONSULTANCY SERVICES LTD.,INE467B01029,TCS,1276599.35,TCS,1276506.1994,,,1276552.7747,Large Cap
3,HDFC BANK LTD.,INE040A01034,HDFCBANK,1177969.85,HDFCBANK,1181073.7604,,,1179521.8052,Large Cap
4,ICICI BANK LTD.,INE090A01021,ICICIBANK,674471.74,ICICIBANK,674115.9615,,,674293.85075,Large Cap
5,"HINDUSTAN UNILEVER LTD.,",INE030A01027,HINDUNILVR,598327.39,HINDUNILVR,598271.8754,,,598299.6327,Large Cap
6,INFOSYS LTD,INE009A01021,INFY,594532.94,INFY,594539.3592,,,594536.1496,Large Cap
7,ITC LTD,INE154A01025,ITC,561143.83,ITC,560512.4949,,,560828.16245,Large Cap
8,BHARTI AIRTEL  LTD.,INE397D01024,BHARTIARTL,538739.120001021,BHARTIARTL,537675.9678,,,538207.543900511,Large Cap
9,"STATE BANK OF INDIA,",INE062A01020,SBIN,525974.16,SBIN,525988.9179,,,525981.53895,Large Cap
10,BAJAJ FINANCE LIMITED,INE296A01024,BAJFINANCE,453184.93,BAJFINANCE,451010.5713,,,452097.75065,Large Cap
11,LIFE INSURANCE CORPORATION OF INDIA,INE0J1Y01017,LICI,417572.78,LICI,417606.443,,,417589.6115,Large Cap
12,LARSEN & TOUBRO LIMITED,INE018A01030,LT,409949.95,LT,409847.1602,,,409898.5551,Large Cap
13,KOTAK MAHINDRA BANK LTD.,INE237A01028,KOTAKBANK,357618.58,KOTAKBANK,357573.5961,,,357596.08805,Large Cap
14,HCL TECHNOLOGIES LTD,INE860A01027,HCLTECH,339419.65,HCLTECH,339466.7011,,,339443.17555,Large Cap
15,AXIS BANK LTD.,INE238A01034,AXISBANK,310591.59,AXISBANK,310502.4941,,,310547.04205,Large Cap
16,ASIAN PAINTS LTD.,INE021A01026,ASIANPAINT,310167.71,ASIANPAINT,310204.1012,,,310185.9056,Large Cap
17,MARUTI SUZUKI INDIA  LTD.,INE585B01010,MARUTI,307423.59,MARUTI,307144.3727,,,307283.98135,Large Cap
18,TITAN COMPANY LIMITED,INE280A01028,TITAN,287183.61,TITAN,287201.9014,,,287192.7557,Large Cap
19,ADANI ENTERPRISES LTD.,INE423A01024,ADANIENT,282695,ADANIENT,282722.3466,,,282708.6733,Large Cap
20,SUN PHARMACEUTICAL INDUSTRIES LTD.,INE044A01036,SUNPHARMA,275665.51,SUNPHARMA,275711.3546,,,275688.4323,Large Cap
21,BAJAJ FINSERV LIMITED,INE918I01026,BAJAJFINSV,253718.8,BAJAJFINSV,253620.0978,,,253669.4489,Large Cap
22,ULTRATECH CEMENT LTD,INE481G01011,ULTRACEMCO,248381.72,ULTRACEMCO,248403.0668,,,248392.3934,Large Cap
23,AVENUE SUPERMARTS LIMITED,INE192R01011,DMART,245946.53,DMART,245958.5686,,,245952.5493,Large Cap
24,TATA MOTORS LTD.,INE155A01022,TATAMOTORS,236478.54,TATAMOTORS,236488.3736,,,236483.4568,Large Cap
25,OIL AND NATURAL GAS CORPORATION LTD,INE213A01029,ONGC,231895.13,ONGC,231937.2307,,,231916.18035,Large Cap
26,NTPC LIMITED,INE733E01010,NTPC,230688.77,NTPC,230702.8461,,,230695.80805,Large Cap
27,NESTLE INDIA LTD.,INE239A01016,NESTLEIND,224974.24,NESTLEIND,224992.0915,,,224983.16575,Large Cap
28,"WIPRO  LTD.,",INE075A01022,WIPRO,216508.09,WIPRO,220061.4704,,,218284.7802,Large Cap
29,MAHINDRA & MAHINDRA LTD.,INE101A01026,M&M,194696.6,M&M,194702.6686,,,194699.6343,Large Cap
30,JSW STEEL LIMITED,INE019A01038,JSWSTEEL,193378.68,JSWSTEEL,193841.2082,,,193609.9441,Large Cap
31,POWER GRID CORPORATION OF INDIA LIMITED,INE752E01010,POWERGRID,186894.13,POWERGRID,186897.1338,,,186895.6319,Large Cap
32,ADANI PORTS AND SPECIAL ECONOMIC ZONE LTD,INE742F01042,ADANIPORTS,179504.41,ADANIPORTS,179516.8663,,,179510.63815,Large Cap
33,COAL INDIA LIMITED,INE522F01014,COALINDIA,177189.12,COALINDIA,177202.0466,,,177195.5833,Large Cap
34,ADANI GREEN ENERGY LIMITED,INE364U01010,ADANIGREEN,166913.27,ADANIGREEN,166936.9034,,,166925.0867,Large Cap
35,LTIMINDTREE LIMITED,INE214T01019,LTIM,157656.05,LTIM,157668.8529,,,157662.45145,Large Cap
36,TATA STEEL LIMITED,INE081A01020,TATASTEEL,151509.45,TATASTEEL,151616.0036,,,151562.7268,Large Cap
37,BAJAJ AUTO LIMITED,INE917I01010,BAJAJ-AUTO,148409.26,BAJAJ-AUTO,148440.5025,,,148424.88125,Large Cap
38,JIO FINANCIAL SERVICES LIMITED,INE758E01017,JIOFIN,145794.81,JIOFIN,147087.9508,,,146441.3804,Large Cap
39,INDIAN OIL CORPORATION LTD.,INE242A01010,IOC,139817.11,IOC,139836.7019,,,139826.90595,Large Cap
40,HINDUSTAN AERONAUTICS LIMITED,INE066F01020,HAL,139514.53,HAL,139522.8068,,,139518.6684,Large Cap
41,ADANI POWER LIMITED,INE814H01011,ADANIPOWER,139435.96,ADANIPOWER,139478.8873,,,139457.42365,Large Cap
42,HDFC LIFE INSURANCE COMPANY LIMITED,INE795G01014,HDFCLIFE,138968.71,HDFCLIFE,138981.0109,,,138974.86045,Large Cap
43,DLF LIMITED,INE271C01023,DLF,138165.41,DLF,138170.0891,,,138167.74955,Large Cap
44,SBI LIFE INSURANCE COMPANY LIMITED,INE123W01016,SBILIFE,134324.15,SBILIFE,134329.061,,,134326.6055,Large Cap
45,"HINDUSTAN ZINC LTD.,",INE267A01025,HINDZINC,132522.87,HINDZINC,132515.8856,,,132519.3778,Large Cap
46,"SIEMENS LTD.,",INE003A01024,SIEMENS,131712.25,SIEMENS,131740.0542,,,131726.1521,Large Cap
47,PIDILITE INDUSTRIES LTD.,INE318A01026,PIDILITIND,128544.94,PIDILITIND,128525.5869,,,128535.26345,Large Cap
48,"GRASIM INDUSTRIES LTD.,",INE047A01021,GRASIM,125571,GRASIM,125612.3691,,,125591.68455,Large Cap
49,VARUN BEVERAGES LIMITED,INE200M01021,VBL,122891.52,VBL,122914.6351,,,122903.07755,Large Cap
50,TECH MAHINDRA LIMITED,INE669C01036,TECHM,117675.65,TECHM,117650.5465,,,117663.09825,Large Cap
51,"BRITANNIA INDUSTRIES LTD.,",INE216A01030,BRITANNIA,113973.42,BRITANNIA,113992.3585,,,113982.88925,Large Cap
52,INDUSIND BANK LTD.,INE095A01012,INDUSINDBK,112390.81,INDUSINDBK,112344.2475,,,112367.52875,Large Cap
53,HINDALCO INDUSTRIES LTD.,INE038A01020,HINDALCO,108095.95,HINDALCO,108111.2736,,,108103.6118,Large Cap
54,BANK OF BARODA,INE028A01039,BANKBARODA,104971.56,BANKBARODA,104974.2733,,,104972.91665,Large Cap
55,GODREJ CONSUMER PRODUCTS LTD.,INE102D01028,GODREJCP,104287.45,GODREJCP,104292.6339,,,104290.04195,Large Cap
56,"BHARAT ELECTRONICS LTD.,",INE263A01024,BEL,101867.37,BEL,101884.1689,,,101875.76945,Large Cap
57,INTERGLOBE AVIATION LIMITED,INE646L01027,INDIGO,99914.4,INDIGO,99894.564,,,99904.482,Large Cap
58,DABUR INDIA LTD.,INE016A01026,DABUR,97969.97,DABUR,97976.7269,,,97973.34845,Large Cap
59,DIVI'S LABORATORIES LTD.,INE361B01024,DIVISLAB,97395.21,DIVISLAB,97405.7635,,,97400.48675,Large Cap
60,EICHER MOTORS LTD.,INE066A01021,EICHERMOT,96865.94,EICHERMOT,96864.9525,,,96865.44625,Large Cap
61,"CIPLA LTD.,",INE059A01026,CIPLA,95818.31,CIPLA,95828.7581,,,95823.53405,Large Cap
62,CHOLAMANDALAM INVESTMENT AND FINANCE COMPANY LTD,INE121A01024,CHOLAFIN,95991.55,CHOLAFIN,95051.2301,,,95521.39005,Large Cap
63,ADANI ENERGY SOLUTIONS LIMITED,INE931S01010,ADANIENSOL,93802.86,ADANIENSOL,93804.0737,,,93803.46685,Large Cap
64,"DR. REDDY'S LABORATORIES LTD.,",INE089A01023,DRREDDY,92645.76,DRREDDY,92624.8958,,,92635.3279,Large Cap
65,"SHREE CEMENTS LTD.,",INE070A01015,SHREECEM,92615.52,SHREECEM,92643.9765,,,92629.74825,Large Cap
66,ABB INDIA LIMITED,INE117A01022,ABB,92471.08,ABB,92481.0017,,,92476.04085,Large Cap
67,VEDANTA LIMITED,INE205A01025,VEDL,90717.28,VEDL,90718.3278,,,90717.8039,Large Cap
68,ZOMATO LIMITED,INE758T01015,ZOMATO,89010.26,ZOMATO,88583.261,,,88796.7605,Large Cap
69,AMBUJA CEMENTS LTD.,INE079A01024,AMBUJACEM,88446.24,AMBUJACEM,88461.8561,,,88454.04805,Large Cap
70,POWER FINANCE CORPORATION LTD,INE134E01011,PFC,85474.59,PFC,85469.096,,,85471.843,Large Cap
71,INDIAN RAILWAY FINANCE CORPORATION,INE053F01010,IRFC,85275.16,IRFC,85279.379,,,85277.2695,Large Cap
72,HAVELLS INDIA LIMITED,INE176B01034,HAVELLS,83275.51,HAVELLS,83281.4292,,,83278.4696,Large Cap
73,TATA CONSUMER PRODUCTS LIMITED,INE192A01025,TATACONSUM,82796.85,TATACONSUM,82813.0724,,,82804.9612,Large Cap
74,"BHARAT PETROLEUM CORPN. LTD.,",INE029A01011,BPCL,82510.76,BPCL,82523.3602,,,82517.0601,Large Cap
75,TATA POWER CO. LTD,INE245A01021,TATAPOWER,82405.1,TATAPOWER,82420.8202,,,82412.9601,Large Cap
76,GAIL (INDIA) LTD.,INE129A01019,GAIL,81444.8048278928,GAIL,81457.0006,,,81450.9027139464,Large Cap
77,BAJAJ HOLDINGS & INVESTMENT LIMITED,INE118A01012,BAJAJHLDNG,81154.78,BAJAJHLDNG,81169.9559,,,81162.36795,Large Cap
78,PUNJAB NATIONAL BANK,INE160A01022,PNB,79774.1,PNB,79773.4757,,,79773.78785,Large Cap
79,ICICI PRUDENTIAL LIFE INSURANCE COMPANY LIMITED,INE726G01019,ICICIPRULI,79460.52,ICICIPRULI,79449.8454,,,79455.1827,Large Cap
80,TRENT LTD [LAKME LTD],INE849A01020,TRENT,77998.78,TRENT,78006.3767,,,78002.57835,Large Cap
81,MACROTECH DEVELOPERS LIMITED,INE670K01029,LODHA,76088.8,LODHA,76089.2975,,,76089.04875,Large Cap
82,SBI CARDS AND PAYMENT SERVICES LIMITED,INE018E01016,SBICARD,76081.8,SBICARD,75972.5993,,,76027.19965,Large Cap
83,POLYCAB INDIA LIMITED,INE455K01017,POLYCAB,74916.05,POLYCAB,74869.0366,,,74892.5433,Large Cap
84,ADANI TOTAL GAS LIMITED,INE399L01023,ATGL,74739.99,ATGL,74732.9821,,,74736.48605,Large Cap
85,UNITED SPIRITS LIMITED,INE854D01024,UNITDSPR,74655.2,MCDOWELL-N,74662.9463,,,74659.07315,Large Cap
86,TVS MOTOR COMPANY LTD.,INE494B01023,TVSMOTOR,74340.62,TVSMOTOR,74342.9917,,,74341.80585,Large Cap
87,"APOLLO HOSPITALS ENTERPRISES LTD.,",INE437A01024,APOLLOHOSP,74138.9,APOLLOHOSP,74157.5398,,,74148.2199,Large Cap
88,REC LIMITED,INE020B01018,RECLTD,73238.98,RECLTD,73243.2317,,,73241.10585,Large Cap
89,MANKIND PHARMA LIMITED,INE634S01028,MANKIND,73109.02,MANKIND,73119.7472,,,73114.3836,Large Cap
90,SHRIRAM FINANCE LIMITED,INE721A01013,SHRIRAMFIN,71511.68,SHRIRAMFIN,71492.1044,,,71501.8922,Large Cap
91,UNION BANK OF INDIA,INE692A01016,UNIONBANK,71972.47,UNIONBANK,71024.2284,,,71498.3492,Large Cap
92,MARICO LIMITED,INE196A01026,MARICO,70878.4,MARICO,70885.0672,,,70881.7336,Large Cap
93,INDIAN OVERSEAS BANK,INE565A01014,IOB,69089.23,IOB,69077.6461,,,69083.43805,Large Cap
94,IDBI BANK LTD,INE008A01015,IDBI,68892.98,IDBI,68887.3456,,,68890.1628,Large Cap
95,"SRF LTD.,",INE647A01010,SRF,68378.49,SRF,68388.6017,,,68383.54585,Large Cap
96,JINDAL STEEL & POWER LTD,INE749A01030,JINDALSTEL,68260.18,JINDALSTEL,68267.3393,,,68263.75965,Large Cap
97,BERGER PAINTS INDIA LTD,INE463A01038,BERGEPAINT,67501.85,BERGEPAINT,67514.0664,,,67507.9582,Large Cap
98,ICICI LOMBARD GENERAL INSURANCE COMPANY LIMITED ,INE765G01017,ICICIGI,67461.74,ICICIGI,67465.0683,,,67463.40415,Large Cap
99,CANARA BANK,INE476A01014,CANBK,67057.93,CANBK,67069.2001,,,67063.56505,Large Cap
100,TORRENT PHARMACEUTICALS LTD.,INE685A01028,TORNTPHARM,67011.14,TORNTPHARM,67024.2474,,,67017.6937,Large Cap
101,HERO MOTOCORP LIMITED,INE158A01026,HEROMOTOCO,64420.24,HEROMOTOCO,64430.0609,,,64425.15045,Mid Cap
102,SAMVARDHANA MOTHERSON INTERNATIONAL LIMITED,INE775A01035,MOTHERSON,64248.9,MOTHERSON,64254.6832,,,64251.7916,Mid Cap
103,CG POWER AND INDUSTRIAL SOLUTIONS LIMITED,INE067A01029,CGPOWER,63866.54,CGPOWER,63876.3128,,,63871.4264,Mid Cap
104,ZYDUS LIFESCIENCES LIMITED,INE010B01027,ZYDUSLIFE,63038.81,ZYDUSLIFE,63059.9505,,,63049.38025,Mid Cap
105,JSW ENERGY LIMITED,INE121E01018,JSWENERGY,61807.64,JSWENERGY,61819.313,,,61813.4765,Mid Cap
106,TUBE INVESTMENTS OF INDIA LTD,INE974X01010,TIINDIA,61590.45,TIINDIA,61589.5594,,,61590.0047,Mid Cap
107,IDFC FIRST BANK LIMITED,INE092T01019,IDFCFIRSTB,60169.86,IDFCFIRSTB,58798.7207,,,59484.29035,Mid Cap
108,BOSCH LTD,INE323A01026,BOSCHLTD,58205.12,BOSCHLTD,58212.136,,,58208.628,Mid Cap
109,MAX HEALTHCARE INSTITUTE LIMITED,INE027H01010,MAXHEALTH,58149.48,MAXHEALTH,58141.0351,,,58145.25755,Mid Cap
110,INFO EDGE(INDIA) LTD.,INE663F01024,NAUKRI,58132.29,NAUKRI,58116.1182,,,58124.2041,Mid Cap
111,INDIAN HOTELS CO. LTD,INE053A01029,INDHOTEL,57987.96,INDHOTEL,57993.6287,,,57990.79435,Mid Cap
112,HDFC ASSET MANAGEMENT COMPANY LIMITED,INE127D01025,HDFCAMC,57381.39,HDFCAMC,57388.0941,,,57384.74205,Mid Cap
113,"COLGATE-PALMOLIVE (INDIA) LTD.,",INE259A01022,COLPAL,56054.76,COLPAL,56067.8424,,,56061.3012,Mid Cap
114,INDIAN RAILWAY CATERING & TOURISM CORPORATION LTD,INE335Y01020,IRCTC,55224.19,IRCTC,55231.4839,,,55227.83695,Mid Cap
115,PI INDUSTRIES LIMITED,INE603J01030,PIIND,54705.52,PIIND,54713.8969,,,54709.70845,Mid Cap
116,PROCTER & GAMBLE HYGIENE & HEALTH CARE LTD.,INE179A01014,PGHH,54328.33,PGHH,54360.3833,,,54344.35665,Mid Cap
117,NHPC LIMITED,INE848E01016,NHPC,54187.25,NHPC,53048.7199,,,53617.98495,Mid Cap
118,ONE 97 COMMUNICATIONS LIMITED,INE982J01020,PAYTM,53330.23,PAYTM,53323.6039,,,53326.91695,Mid Cap
119,VODAFONE IDEA LIMITED,INE669E01016,IDEA,52997.66,IDEA,52976.4569,,,52987.05845,Mid Cap
120,MUTHOOT FINANCE LIMITED,INE414G01012,MUTHOOTFIN,52901.7,MUTHOOTFIN,52915.1247,,,52908.41235,Mid Cap
121,"SUPREME INDUSTRIES LTD.,",INE195A01028,SUPREMEIND,52526.34,SUPREMEIND,52530.4255,,,52528.38275,Mid Cap
122,AUROBINDO PHARMA LTD.,INE406A01037,AUROPHARMA,52445.52,AUROPHARMA,52454.0985,,,52449.80925,Mid Cap
123,"ASHOK LEYLAND LTD.,",INE208A01029,ASHOKLEY,51976.08,ASHOKLEY,51979.8713,,,51977.97565,Mid Cap
124,YES BANK LTD.,INE528G01035,YESBANK,51896.13,YESBANK,51881.5527,,,51888.84135,Mid Cap
125,ASTRAL LIMITED,INE006I01046,ASTRAL,51379.09,ASTRAL,51381.9596,,,51380.5248,Mid Cap
126,LUPIN LTD,INE326A01037,LUPIN,51259.58,LUPIN,51259.8273,,,51259.70365,Mid Cap
127,"CUMMINS INDIA LTD.,",INE298A01020,CUMMINSIND,50158.74,CUMMINSIND,50171.7693,,,50165.25465,Mid Cap
128,TATA COMMUNICATIONS LIMITED,INE151A01013,TATACOMM,49520.34,TATACOMM,49526.9208,,,49523.6304,Mid Cap
129,INDIAN BANK,INE562A01011,INDIANB,49472.2,INDIANB,49310.8915,,,49391.54575,Mid Cap
130,TATA TECHNOLOGIES LIMITED,INE142M01025,TATATECH,49340.5,TATATECH,49335.7646,,,49338.1323,Mid Cap
131,ABBOTT INDIA LTD.,INE358A01014,ABBOTINDIA,49208.08,,,,,49208.08,Mid Cap
132,AU SMALL FINANCE BANK LIMITED,INE949L01017,AUBANK,48732.64,AUBANK,48709.8943,,,48721.26715,Mid Cap
133,PATANJALI FOODS LIMITED,INE619A01035,PATANJALI,48705.55,PATANJALI,48708.6553,,,48707.10265,Mid Cap
134,BHARAT FORGE LTD,INE465A01025,BHARATFORG,48589.73,BHARATFORG,48605.5007,,,48597.61535,Mid Cap
135,INDUS TOWERS LIMITED,INE121J01017,INDUSTOWER,48504.41,INDUSTOWER,48508.1044,,,48506.2572,Mid Cap
136,"BALKRISHNA INDUSTRIES LTD.,",INE787D01026,BALKRISIND,48191.87,BALKRISIND,48204.9275,,,48198.39875,Mid Cap
137,LINDE INDIA LIMITED,INE473A01011,LINDEINDIA,48135.11,LINDEINDIA,48136.5751,,,48135.84255,Mid Cap
138,TATA ELXSI LTD,INE670A01012,TATAELXSI,47904.18,TATAELXSI,47915.9349,,,47910.05745,Mid Cap
139,SCHAEFFLER INDIA LIMITED,INE513A01022,SCHAEFFLER,47744.09,SCHAEFFLER,47749.038,,,47746.564,Mid Cap
140,ALKEM LABORATORIES LIMITED,INE540L01014,ALKEM,47630.35,ALKEM,47646.3632,,,47638.3566,Mid Cap
141,GODREJ PROPERTIES LIMITED,INE484J01027,GODREJPROP,47482.11,GODREJPROP,47486.3148,,,47484.2124,Mid Cap
142,L&T TECHNOLOGY SERVICES LIMITED,INE010V01017,LTTS,47225,LTTS,47216.5452,,,47220.7726,Mid Cap
143,ADANI WILMAR LIMITED,INE699H01024,AWL,46632.52,AWL,46631.2106,,,46631.8653,Mid Cap
144,ADITYA BIRLA CAPITAL LTD,INE674K01013,ABCAPITAL,46406.75,ABCAPITAL,46188.7426,,,46297.7463,Mid Cap
145,"M.R.F. LTD.,",INE883A01011,MRF,46266.81,MRF,46272.5418,,,46269.6759,Mid Cap
146,SOLAR INDUSTRIES INDIA LIMITED,INE343H01029,SOLARINDS,46156.55,SOLARINDS,46162.7061,,,46159.62805,Mid Cap
147,UPL LIMITED,INE628A01036,UPL,45870.12,UPL,45064.3944,,,45467.2572,Mid Cap
148,"BHARAT HEAVY ELECTRICALS LTD.,",INE257A01026,BHEL,44810.67,BHEL,44814.4362,,,44812.5531,Mid Cap
149,PERSISTENT SYSTEMS LIMITED,INE262H01013,PERSISTENT,44300.36,PERSISTENT,44308.0866,,,44304.2233,Mid Cap
150,CONTAINER CORPORATION OF INDIA LTD.,INE111A01025,CONCOR,44179.05,CONCOR,44179.4664,,,44179.2582,Mid Cap
151,MPHASIS LIMITED,INE356A01018,MPHASIS,43970.5,MPHASIS,43966.7598,,,43968.6299,Mid Cap
152,APL APOLLO TUBES LIMITED,INE702C01027,APLAPOLLO,43946.6,APLAPOLLO,43951.9252,,,43949.2626,Mid Cap
153,OBEROI REALTY LIMITED,INE093I01010,OBEROIRLTY,43283.55,OBEROIRLTY,43290.9222,,,43287.2361,Mid Cap
154,NMDC LTD,INE584A01023,NMDC,43076.72,NMDC,43086.169,,,43081.4445,Mid Cap
155,FSN E-COMMERCE VENTURES LIMITED,INE388Y01029,NYKAA,42940.35,NYKAA,42929.7791,,,42935.06455,Mid Cap
156,PAGE INDUSTRIES LTD.,INE761H01022,PAGEIND,42849.52,PAGEIND,42855.9261,,,42852.72305,Mid Cap
157,UCO BANK,INE691A01018,UCOBANK,42751.81,UCOBANK,42745.9251,,,42748.86755,Mid Cap
158,UNITED BREWERIES LTD.,INE686F01025,UBL,41999.77,UBL,42005.6515,,,42002.71075,Mid Cap
159,JSW INFRASTRUCTURE LIMITED,INE880J01026,JSWINFRA,41589.84,JSWINFRA,41589.6704,,,41589.7552,Mid Cap
160,HINDUSTAN PETROLEUM CORPORATION LTD,INE094A01015,HINDPETRO,41254.07,HINDPETRO,41255.5614,,,41254.8157,Mid Cap
161,GENERAL INSURANCE CORPORATION OF INDIA,INE481Y01014,GICRE,41083.59,GICRE,41091.0192,,,41087.3046,Mid Cap
162,DALMIA BHARAT LIMITED,INE00R701025,DALBHARAT,40583.77,DALBHARAT,40585.7397,,,40584.75485,Mid Cap
163,BANK OF INDIA,INE084A01016,BANKINDIA,40595.51,BANKINDIA,40157.2763,,,40376.39315,Mid Cap
164,MAZAGON DOCK SHIPBUILDERS LIMITED,INE249Z01012,MAZDOCK,39639.75,MAZDOCK,39647.8868,,,39643.8184,Mid Cap
165,FERTILIZERS AND CHEMICALS TRAVANCORE LIMITED,INE188A01015,FACT,38594.16,FACT,38593.3816,,,38593.7708,Mid Cap
166,"STEEL AUTHORITY OF INDIA LTD.,",INE114A01011,SAIL,38377.68,SAIL,38383.739,,,38380.7095,Mid Cap
167,JINDAL STAINLESS LIMITED,INE220G01021,JSL,37725.89,JSL,37727.1498,,,37726.5199,Mid Cap
168,SUZLON ENERGY LTD.,INE040H01021,SUZLON,37651.62,SUZLON,37386.673,,,37519.1465,Mid Cap
169,BANDHAN BANK LIMITED,INE545U01014,BANDHANBNK,37236.16,BANDHANBNK,37241.0878,,,37238.6239,Mid Cap
170,ACC LTD,INE012A01025,ACC,36880.71,ACC,36885.3408,,,36883.0254,Mid Cap
171,CENTRAL BANK OF INDIA,INE483A01010,CENTRALBK,35837.65,CENTRALBK,35836.1781,,,35836.91405,Mid Cap
172,MAHINDRA & MAHINDRA FINANCIAL SERVICES LIMITED,INE774D01024,M&MFIN,35720.96,M&MFIN,35729.4827,,,35725.22135,Mid Cap
173,TORRENT POWER LIMITED,INE813H01021,TORNTPOWER,35645.12,TORNTPOWER,35647.1143,,,35646.11715,Mid Cap
174,UNO MINDA LIMITED,INE405E01023,UNOMINDA,35060.17,UNOMINDA,35066.8638,,,35063.5169,Mid Cap
175,ORACLE FINANCIAL SERVICES SOFTWARE LIMITED,INE881D01027,OFSS,35025.41,OFSS,35016.753,,,35021.0815,Mid Cap
176,GMR AIRPORTS INFRASTRUCTURE LIMITED,INE776C01039,GMRINFRA,35002.69,GMRINFRA,35007.2657,,,35004.97785,Mid Cap
177,STAR HEALTH AND ALLIED INSURANCE COMPANY LIMITED,INE575P01011,STARHEALTH,34670.98,STARHEALTH,34621.4444,,,34646.2122,Mid Cap
178,HONEYWELL AUTOMATION INDIA LTD.,INE671A01010,HONAUT,34584.14,HONAUT,34588.2394,,,34586.1897,Mid Cap
179,JUBILANT FOODWORKS LIMITED,INE797F01020,JUBLFOOD,34226.94,JUBLFOOD,34233.7268,,,34230.3334,Mid Cap
180,ESCORTS KUBOTA LIMITED,INE042A01014,ESCORTS,33804.8,ESCORTS,34545.1887,,,34174.99435,Mid Cap
181,"THE PHOENIX MILLS LTD.,",INE211B01039,PHOENIXLTD,34148.25,PHOENIXLTD,34144.5259,,,34146.38795,Mid Cap
182,3M INDIA LTD.,INE470A01017,3MINDIA,34126.45,3MINDIA,34145.6763,,,34136.06315,Mid Cap
183,PB FINTECH LIMITED,INE417T01026,POLICYBZR,34043.24,POLICYBZR,34040.7079,,,34041.97395,Mid Cap
184,KPIT TECHNOLOGIES LTD,INE04I401011,KPITTECH,33818.63,KPITTECH,33822.0723,,,33820.35115,Mid Cap
185,L&T FINANCE HOLDINGS LIMITED,INE498L01015,L&TFH,33749.42,L&TFH,33722.0765,,,33735.74825,Mid Cap
186,FEDERAL BANK LTD.,INE171A01029,FEDERALBNK,33796.89,FEDERALBNK,33302.4537,,,33549.67185,Mid Cap
187,AIA ENGINEERING LTD.,INE212H01026,AIAENG,33361.53,AIAENG,33368.0634,,,33364.7967,Mid Cap
188,SONA BLW PRECISION FORGINGS LIMITED,INE073K01018,SONACOMS,33223.63,SONACOMS,33205.2816,,,33214.4558,Mid Cap
189,SUNDARAM FINANCE LTD,INE660A01013,SUNDARMFIN,33155.17,SUNDARMFIN,33171.267,,,33163.2185,Mid Cap
190,PETRONET LNG LTD.,INE347G01014,PETRONET,33056.74,PETRONET,33056.0705,,,33056.40525,Mid Cap
191,THERMAX LTD.,INE152A01029,THERMAX,32804.62,THERMAX,32802.8838,,,32803.7519,Mid Cap
192,COROMANDEL INTERNATIONAL LIMITED,INE169A01031,COROMANDEL,32452.95,COROMANDEL,32445.9584,,,32449.4542,Mid Cap
193,COFORGE LIMITED,INE591G01017,COFORGE,32377.83,COFORGE,32302.1635,,,32339.99675,Mid Cap
194,GUJARAT FLUOROCHEMICALS LIMITED,INE09N301011,FLUOROCHEM,32040.62,FLUOROCHEM,32040.7114,,,32040.6657,Mid Cap
195,OIL INDIA LIMITED,INE274J01014,OIL,32036.74,OIL,32043.3864,,,32040.0632,Mid Cap
196,RAIL VIKAS NIGAM LIMITED,INE415G01027,RVNL,31652.79,RVNL,31654.9769,,,31653.88345,Mid Cap
197,METRO BRANDS LIMITED,INE317I01021,METROBRAND,31528.31,METROBRAND,31560.9679,,,31544.63895,Mid Cap
198,VEDANT FASHIONS LIMITED,INE825V01034,MANYAVAR,31433.85,MANYAVAR,31448.0743,,,31440.96215,Mid Cap
199,MAX FINANCIAL SERVICES LIMITED,INE180A01020,MFSL,31261.41,MFSL,31265.2274,,,31263.3187,Mid Cap
200,INDRAPRASHTHA GAS LTD.,INE203G01027,IGL,30697.24,IGL,30700.2851,,,30698.76255,Mid Cap
201,DIXON TECHNOLOGIES (INDIA) LIMITED,INE935N01020,DIXON,30682.93,DIXON,30660.1869,,,30671.55845,Mid Cap
202,SYNGENE INTERNATIONAL LIMITED,INE398R01022,SYNGENE,30550.27,SYNGENE,30556.0416,,,30553.1558,Mid Cap
203,GUJARAT GAS LIMITED,INE844O01030,GUJGAS,30544.65,GUJGASLTD,30547.978,,,30546.314,Mid Cap
204,BIOCON LTD.,INE376G01013,BIOCON,30154.96,BIOCON,30159.8466,,,30157.4033,Mid Cap
205,POONAWALLA FINCORP LIMITED,INE511C01022,POONAWALLA,30131.68,POONAWALLA,30126.9341,,,30129.30705,Mid Cap
206,DELHIVERY LIMITED,INE148O01028,DELHIVERY,29948.9,DELHIVERY,29906.7063,,,29927.80315,Mid Cap
207,PRESTIGE ESTATES PROJECTS LIMITED,INE811K01011,PRESTIGE,29771.51,PRESTIGE,29781.758,,,29776.634,Mid Cap
208,BANK OF MAHARASHTRA,INE457A01014,MAHABANK,29342.76,MAHABANK,29345.1553,,,29343.95765,Mid Cap
